Date,Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2021-06-23,00:00:00.000,69.07,186.75,-68.59,-8.12
2021-06-23,00:05:00.000,69.07,186.67,-68.60,-8.02
2021-06-23,00:10:00.000,69.07,186.77,-68.59,-8.14
2021-06-23,00:15:00.000,69.07,187.19,-68.53,-8.65
2021-06-23,00:20:00.000,69.07,186.81,-68.58,-8.19
2021-06-23,00:25:00.000,69.07,186.79,-68.58,-8.17
2021-06-23,00:30:00.000,69.07,186.75,-68.59,-8.12
2021-06-23,00:35:00.000,69.07,186.70,-68.60,-8.06
2021-06-23,00:40:00.000,69.07,186.59,-68.61,-7.92
2021-06-23,00:45:00.000,69.07,186.65,-68.60,-8.00
2021-06-23,00:50:00.000,69.07,186.78,-68.59,-8.16
2021-06-23,00:55:00.000,69.07,186.65,-68.60,-8.00
2021-06-23,01:00:00.000,69.07,186.88,-68.57,-8.28
2021-06-23,01:05:00.000,69.07,187.00,-68.55,-8.42
2021-06-23,01:10:00.000,69.07,186.70,-68.60,-8.05
2021-06-23,01:15:00.000,69.07,186.76,-68.59,-8.13
2021-06-23,01:20:00.000,69.07,186.56,-68.62,-7.89
2021-06-23,01:25:00.000,69.07,186.61,-68.61,-7.96
2021-06-23,01:30:00.000,69.07,186.65,-68.60,-8.00
2021-06-23,01:35:00.000,69.07,186.81,-68.58,-8.19
2021-06-23,01:40:00.000,69.07,186.65,-68.60,-7.99
2021-06-23,01:45:00.000,69.07,186.82,-68.58,-8.20
2021-06-23,01:50:00.000,69.07,187.19,-68.53,-8.65
2021-06-23,01:55:00.000,69.07,186.94,-68.56,-8.35
2021-06-23,02:00:00.000,69.07,186.93,-68.56,-8.33
2021-06-23,02:05:00.000,69.07,186.89,-68.57,-8.29
2021-06-23,02:10:00.000,69.07,186.77,-68.59,-8.14
2021-06-23,02:15:00.000,69.07,186.66,-68.60,-8.01
2021-06-23,02:20:00.000,69.07,186.64,-68.60,-7.99
2021-06-23,02:25:00.000,69.07,186.82,-68.58,-8.21
2021-06-23,02:30:00.000,69.07,186.78,-68.59,-8.15
2021-06-23,02:35:00.000,69.07,186.69,-68.60,-8.04
2021-06-23,02:40:00.000,69.07,187.05,-68.54,-8.48
2021-06-23,02:45:00.000,69.06,186.90,-68.56,-8.29
2021-06-23,02:50:00.000,69.06,186.59,-68.61,-7.93
2021-06-23,02:55:00.000,69.06,186.65,-68.60,-8.00
2021-06-23,03:00:00.000,69.06,186.70,-68.59,-8.06
2021-06-23,03:05:00.000,69.07,186.76,-68.59,-8.13
2021-06-23,03:10:00.000,69.06,186.66,-68.60,-8.01
2021-06-23,03:15:00.000,69.07,186.73,-68.59,-8.09
2021-06-23,03:20:00.000,69.07,186.83,-68.58,-8.22
2021-06-23,03:25:00.000,69.07,186.59,-68.61,-7.92
2021-06-23,03:30:00.000,69.07,186.81,-68.58,-8.19
2021-06-23,03:35:00.000,69.07,187.03,-68.55,-8.46
2021-06-23,03:40:00.000,69.06,187.17,-68.52,-8.62
2021-06-23,03:45:00.000,69.06,186.83,-68.57,-8.21
2021-06-23,03:50:00.000,69.06,186.65,-68.60,-8.00
2021-06-23,03:55:00.000,69.06,186.75,-68.58,-8.12
2021-06-23,04:00:00.000,69.06,186.77,-68.58,-8.14
2021-06-23,04:05:00.000,69.07,186.74,-68.59,-8.10
2021-06-23,04:10:00.000,69.06,186.61,-68.60,-7.96
2021-06-23,04:15:00.000,69.06,186.76,-68.58,-8.13
2021-06-23,04:20:00.000,69.06,186.69,-68.59,-8.05
2021-06-23,04:25:00.000,69.06,186.67,-68.60,-8.02
2021-06-23,04:30:00.000,69.07,186.79,-68.58,-8.17
2021-06-23,04:35:00.000,69.07,186.88,-68.57,-8.28
2021-06-23,04:40:00.000,69.07,186.75,-68.59,-8.12
2021-06-23,04:45:00.000,69.07,187.00,-68.55,-8.42
2021-06-23,04:50:00.000,69.06,187.10,-68.53,-8.54
2021-06-23,04:55:00.000,69.06,186.79,-68.58,-8.16
2021-06-23,05:00:00.000,69.06,186.79,-68.58,-8.16
2021-06-23,05:05:00.000,69.06,186.78,-68.58,-8.15
2021-06-23,05:10:00.000,69.06,186.74,-68.59,-8.10
2021-06-23,05:15:00.000,69.06,186.55,-68.61,-7.88
2021-06-23,05:20:00.000,69.06,186.63,-68.60,-7.97
2021-06-23,05:25:00.000,69.06,186.76,-68.58,-8.13
2021-06-23,05:30:00.000,69.06,186.87,-68.57,-8.26
2021-06-23,05:35:00.000,69.07,186.78,-68.58,-8.15
2021-06-23,05:40:00.000,69.07,186.69,-68.60,-8.04
2021-06-23,05:45:00.000,69.06,186.82,-68.58,-8.20
2021-06-23,05:50:00.000,69.07,186.82,-68.58,-8.20
2021-06-23,05:55:00.000,69.07,186.79,-68.58,-8.16
2021-06-23,06:00:00.000,69.07,186.80,-68.58,-8.18
2021-06-23,06:05:00.000,69.07,186.96,-68.56,-8.37
2021-06-23,06:10:00.000,69.07,186.84,-68.58,-8.23
2021-06-23,06:15:00.000,69.07,186.82,-68.58,-8.20
2021-06-23,06:20:00.000,69.07,186.82,-68.58,-8.21
2021-06-23,06:25:00.000,69.07,186.94,-68.56,-8.34
2021-06-23,06:30:00.000,69.07,187.01,-68.55,-8.42
2021-06-23,06:35:00.000,69.07,187.20,-68.52,-8.66
2021-06-23,06:40:00.000,69.07,187.17,-68.53,-8.62
2021-06-23,06:45:00.000,69.06,186.84,-68.57,-8.23
2021-06-23,06:50:00.000,69.06,186.87,-68.57,-8.26
2021-06-23,06:55:00.000,69.06,186.81,-68.58,-8.19
2021-06-23,07:00:00.000,69.07,186.69,-68.60,-8.04
2021-06-23,07:05:00.000,69.07,186.85,-68.57,-8.23
2021-06-23,07:10:00.000,69.07,186.87,-68.57,-8.26
2021-06-23,07:15:00.000,69.07,186.85,-68.57,-8.23
2021-06-23,07:20:00.000,69.07,186.73,-68.59,-8.10
2021-06-23,07:25:00.000,69.07,186.69,-68.60,-8.05
2021-06-23,07:30:00.000,69.07,186.81,-68.58,-8.18
2021-06-23,07:35:00.000,69.07,186.92,-68.56,-8.33
