DateTime (UTC+00:00),SAMIpH,pHerror,TempC,Battery V,"Flags(Outlier,Pump,Sat,Blank)"
2024-06-23 18:00:01,8.0764,0.00353,28.8642,11.4968,0
2024-06-23 18:15:01,8.0836,0.00432,28.8572,11.5208,0
2024-06-23 18:30:01,8.1325,0.00121,28.8292,11.5193,0
2024-06-23 18:45:01,8.1253,0.00228,28.8292,11.5275,0
2024-06-23 19:00:01,8.1201,0.00168,28.8362,11.532,0
2024-06-23 19:15:01,8.1311,0.00404,28.8083,11.5343,0
2024-06-23 19:30:01,8.1005,0.00321,28.8083,11.5343,0
2024-06-23 19:45:01,8.0835,0.00307,28.8013,11.535,0
2024-06-23 20:00:01,8.1241,0.00165,28.7943,11.5343,0
2024-06-23 20:15:01,8.1382,0.00393,28.8152,11.5328,0
2024-06-23 20:30:01,8.1445,0.00634,28.8222,11.5313,0
2024-06-23 20:45:01,8.1372,0.00289,28.8222,11.5298,0
2024-06-23 21:00:01,8.1436,0.00518,28.8083,11.5275,0
2024-06-23 21:15:01,8.1419,0.00336,28.8152,11.5245,0
2024-06-23 21:30:01,8.108,0.00275,28.8222,11.5223,0
2024-06-23 21:45:01,8.131,0.00305,28.8292,11.52,0
2024-06-23 22:00:01,8.1358,0.00235,28.8362,11.517,0
2024-06-23 22:15:01,8.1107,0.00384,28.8432,11.5147,0
2024-06-23 22:30:01,8.1077,0.00476,28.8712,11.5117,0
2024-06-23 22:45:01,8.1218,0.00477,28.8991,11.5095,0
2024-06-23 23:00:01,8.112,0.00484,28.9762,11.5058,0
2024-06-23 23:15:01,8.1116,0.0023,28.9762,11.5043,0
2024-06-23 23:30:01,8.1082,0.00302,28.9762,11.5013,0
2024-06-23 23:45:01,8.0779,0.00341,28.9972,11.4983,0
2024-06-24 00:00:01,8.098,0.00659,28.9972,11.496,0
2024-06-24 00:15:01,8.0824,0.00136,28.9972,11.493,0
2024-06-24 00:30:01,8.0722,0.00232,28.9972,11.49,0
2024-06-24 00:45:01,8.0872,0.00291,28.9691,11.4878,0
2024-06-24 01:00:01,8.0691,0.00193,28.9481,11.4848,0
2024-06-24 01:15:01,8.0827,0.00367,28.9341,11.4818,0
2024-06-24 01:30:01,8.0507,0.0035,28.9271,11.4788,0
2024-06-24 01:45:01,8.0686,0.00126,28.8991,11.4758,0
2024-06-24 02:00:01,8.0542,0.00353,28.8782,11.4735,0
2024-06-24 02:15:01,8.0649,0.00241,28.8782,11.4697,0
2024-06-24 02:30:01,8.0641,0.0031,28.8642,11.4675,0
2024-06-24 02:45:01,8.0733,0.00279,28.8572,11.4645,0
2024-06-24 03:00:01,8.0981,0.00325,28.8502,11.4622,0
2024-06-24 03:15:01,8.0711,0.00329,28.8013,11.4593,0
2024-06-24 03:30:01,8.0873,0.0054,28.8013,11.4563,0
2024-06-24 03:45:01,8.0967,0.00619,28.8013,11.4533,0
2024-06-24 04:00:01,8.0846,0.0019,28.7943,11.451,0
2024-06-24 04:15:01,8.0937,0.0037,28.7873,11.448,0
2024-06-24 04:30:01,8.0805,0.00171,28.7803,11.445,0
2024-06-24 04:45:01,8.0778,0.00173,28.7734,11.4428,0
2024-06-24 05:00:01,8.0932,0.00194,28.7734,11.4398,0
2024-06-24 05:15:01,8.0773,0.0035,28.7664,11.4375,0
2024-06-24 05:30:01,8.0611,0.00308,28.7664,11.4345,0
2024-06-24 05:45:01,8.0806,0.00249,28.7594,11.4323,0
2024-06-24 06:00:01,8.0634,0.00373,28.7524,11.4293,0
2024-06-24 06:15:01,8.0757,0.00281,28.7524,11.427,0
2024-06-24 06:30:01,8.0809,0.00328,28.7454,11.424,0
2024-06-24 06:45:01,8.0713,0.00404,28.7454,11.4217,0
2024-06-24 07:00:01,8.0827,0.00307,28.7385,11.4187,0
2024-06-24 07:15:01,8.073,0.00219,28.7315,11.4157,0
2024-06-24 07:30:01,8.0625,0.0037,28.7315,11.4135,0
2024-06-24 07:45:01,8.0763,0.00311,28.7315,11.4113,0
2024-06-24 08:00:01,8.0867,0.00341,28.7385,11.409,0
2024-06-24 08:15:01,8.0805,0.00417,28.7385,11.4068,0
2024-06-24 08:30:01,8.0786,0.00378,28.7245,11.4038,0
2024-06-24 08:45:01,8.0833,0.00267,28.7175,11.4015,0
2024-06-24 09:00:01,8.0821,0.00274,28.7175,11.3993,0
2024-06-24 09:15:01,8.0657,0.00365,28.7175,11.3963,0
2024-06-24 09:30:01,8.0766,0.00512,28.7175,11.394,0
