Date,Time,PAR (raw),PAR (CALC)
6/25/21,17:52:00,8268,29.64511244
6/25/21,17:52:01,8266,29.59781291
6/25/21,17:52:02,8483,35.19673182
6/25/21,17:52:04,8310,30.65605092
6/25/21,17:52:05,8890,48.71085794
6/25/21,17:52:06,8945,50.89750737
6/25/21,17:52:07,8407,33.12455485
6/25/21,17:52:08,8086,25.63576642
6/25/21,17:52:09,8475,34.97263973
6/25/21,17:52:10,7871,21.59220867
6/25/21,17:57:01,6354,6.431192672
6/25/21,17:57:02,6332,6.319216384
6/25/21,17:57:03,6374,6.534710219
6/25/21,17:57:04,6377,6.550380913
6/25/21,17:57:05,6380,6.566089187
6/25/21,17:57:06,6367,6.498290903
6/25/21,17:57:07,6472,7.066541538
6/25/21,17:57:08,6384,6.587092164
6/25/21,17:57:09,6383,6.58183513
6/25/21,17:57:11,6361,6.46723594
6/25/21,18:02:02,4285,1.232778753
6/25/21,18:02:03,4305,1.252621765
6/25/21,18:02:04,4313,1.260648115
6/25/21,18:02:05,4310,1.257632224
6/25/21,18:02:06,4334,1.281962827
6/25/21,18:02:07,4316,1.263671237
6/25/21,18:02:08,4324,1.271768388
6/25/21,18:02:09,4321,1.268725894
6/25/21,18:02:10,4322,1.269739249
6/25/21,18:02:12,4336,1.2840115
6/25/21,18:07:03,6396,6.650505051
6/25/21,18:07:04,6384,6.587092164
6/25/21,18:07:05,6432,6.844430069
6/25/21,18:07:06,6429,6.828055912
6/25/21,18:07:07,6394,6.639894001
6/25/21,18:07:08,6418,6.768351763
6/25/21,18:07:09,6435,6.860843494
6/25/21,18:07:10,6416,6.757552686
6/25/21,18:07:11,6406,6.703815202
6/25/21,18:07:12,6451,6.949048819
6/25/21,18:12:03,3982,0.9678827
6/25/21,18:12:04,4073,1.04082119
6/25/21,18:12:05,4227,1.176993823
6/25/21,18:12:06,5267,2.70012859
6/25/21,18:12:07,5053,2.276050799
6/25/21,18:12:08,5410,3.026692904
6/25/21,18:12:09,5406,3.017042278
6/25/21,18:12:10,5106,2.374429091
6/25/21,18:12:11,5362,2.912894852
6/25/21,18:12:12,5490,3.226321257
6/25/21,18:17:03,1133,0.099531065
6/25/21,18:17:04,1115,0.098110913
6/25/21,18:17:05,1113,0.097954375
6/25/21,18:17:06,1108,0.09756412
6/25/21,18:17:07,1106,0.097408454
6/25/21,18:17:08,1119,0.098424741
6/25/21,18:17:09,1119,0.098424741
6/25/21,18:17:10,1125,0.098897366
6/25/21,18:17:11,1108,0.09756412
6/25/21,18:17:13,1087,0.095941959
6/25/21,18:22:04,1122,0.098660771
6/25/21,18:22:05,1135,0.099690123
6/25/21,18:22:06,1169,0.102433335
6/25/21,18:22:07,1199,0.104916437
6/25/21,18:22:08,1194,0.104498445
6/25/21,18:22:09,1171,0.102597031
6/25/21,18:22:10,1152,0.101052421
6/25/21,18:22:11,1172,0.102678977
6/25/21,18:22:12,1198,0.104832705
6/25/21,18:22:14,1203,0.105252033
6/25/21,18:27:05,3995,0.977980861
6/25/21,18:27:06,3970,0.958653892
6/25/21,18:27:07,3933,0.930748696
6/25/21,18:27:08,4003,0.984247411
6/25/21,18:27:09,3976,0.963257244
6/25/21,18:27:10,4037,1.011331333
6/25/21,18:27:11,3988,0.972530368
6/25/21,18:27:12,3962,0.952550293
6/25/21,18:27:13,3889,0.89861952
6/25/21,18:27:15,3790,0.830325785
6/25/21,18:32:06,4104,1.066903366
6/25/21,18:32:07,4044,1.016999284
6/25/21,18:32:08,3984,0.96942945
6/25/21,18:32:09,4061,1.03089691
6/25/21,18:32:10,4061,1.03089691
6/25/21,18:32:11,4027,1.003289013
6/25/21,18:32:12,4002,0.983461901
6/25/21,18:32:13,3785,0.827017733
6/25/21,18:32:14,3513,0.665581693
6/25/21,18:32:16,3299,0.561046518
6/25/21,18:37:07,9497,79.08558766
6/25/21,18:37:08,9470,77.39899986
6/25/21,18:37:09,9484,78.26898787
6/25/21,18:37:10,9518,80.42274631
6/25/21,18:37:11,9547,82.30654621
6/25/21,18:37:12,9542,81.9786335
6/25/21,18:37:13,9537,81.6520272
6/25/21,18:37:14,9525,80.87347118
6/25/21,18:37:15,9530,81.19696327
6/25/21,18:37:17,9518,80.42274631
