Date,Time,PAR (raw),Datetime (UTC),Datetime (AST),PAR (calc),PAR (avg),,Serial #:,0392
6/23/24,17:13:14,4846,6/23/2024 17:13:14,6/23/2024 13:13:14,2.182106875,,,Location:,DRTO Temporal Suite
6/23/24,17:13:15,5226,6/23/2024 17:13:15,6/23/2024 13:13:15,2.955855252,,,Digital Im:,1.3589
6/23/24,17:13:16,5298,6/23/2024 17:13:16,6/23/2024 13:13:16,3.130813143,,,Digital a1:,2883
6/23/24,17:13:17,5346,6/23/2024 17:13:17,6/23/2024 13:13:17,3.253167852,,,Digital a0:,4253
6/23/24,17:13:18,5592,6/23/2024 17:13:18,6/23/2024 13:13:18,3.959444461,,,Note:,instrument times logged in UTC
6/23/24,17:13:19,5461,6/23/2024 17:13:19,6/23/2024 13:13:19,3.566116086,,,,
6/23/24,17:13:21,5495,6/23/2024 17:13:21,6/23/2024 13:13:21,3.664280803,,,,
6/23/24,17:13:22,5575,6/23/2024 17:13:22,6/23/2024 13:13:22,3.906048397,,,,
6/23/24,17:13:23,4972,6/23/2024 17:13:23,6/23/2024 13:13:23,2.41312874,,,,
6/23/24,17:13:24,6355,6/23/2024 17:13:24,6/23/2024 13:13:24,7.282644808,3.631360642,,,
6/23/24,17:28:15,5344,6/23/2024 17:28:15,6/23/2024 13:28:15,3.247975541,,,,
6/23/24,17:28:16,5390,6/23/2024 17:28:16,6/23/2024 13:28:16,3.369522432,,,,
6/23/24,17:28:17,5384,6/23/2024 17:28:17,6/23/2024 13:28:17,3.353414103,,,,
6/23/24,17:28:18,5357,6/23/2024 17:28:18,6/23/2024 13:28:18,3.281874292,,,,
6/23/24,17:28:19,5353,6/23/2024 17:28:19,6/23/2024 13:28:19,3.271406395,,,,
6/23/24,17:28:20,5311,6/23/2024 17:28:20,6/23/2024 13:28:20,3.163489083,,,,
6/23/24,17:28:21,5303,6/23/2024 17:28:21,6/23/2024 13:28:21,3.143340679,,,,
6/23/24,17:28:22,5316,6/23/2024 17:28:22,6/23/2024 13:28:22,3.176147367,,,,
6/23/24,17:28:23,5265,6/23/2024 17:28:23,6/23/2024 13:28:23,3.049374318,,,,
6/23/24,17:28:25,5272,6/23/2024 17:28:25,6/23/2024 13:28:25,3.066470314,3.212301452,,,
6/23/24,17:43:16,8034,6/23/2024 17:43:16,6/23/2024 13:43:16,27.83995922,,,,
6/23/24,17:43:17,8753,6/23/2024 17:43:17,6/23/2024 13:43:17,49.43807911,,,,
6/23/24,17:43:18,7853,6/23/2024 17:43:18,6/23/2024 13:43:18,24.09277197,,,,
6/23/24,17:43:19,8091,6/23/2024 17:43:19,6/23/2024 13:43:19,29.13665332,,,,
6/23/24,17:43:20,7822,6/23/2024 17:43:20,6/23/2024 13:43:20,23.50358348,,,,
6/23/24,17:43:21,7961,6/23/2024 17:43:21,6/23/2024 13:43:21,26.2632065,,,,
6/23/24,17:43:22,7723,6/23/2024 17:43:22,6/23/2024 13:43:22,21.71675101,,,,
6/23/24,17:43:23,7657,6/23/2024 17:43:23,6/23/2024 13:43:23,20.6016513,,,,
6/23/24,17:43:24,7588,6/23/2024 17:43:24,6/23/2024 13:43:24,19.49703761,,,,
6/23/24,17:43:26,7389,6/23/2024 17:43:26,6/23/2024 13:43:26,16.63195528,25.87216488,,,
6/23/24,17:58:17,6340,6/23/2024 17:58:17,6/23/2024 13:58:17,7.195918157,,,,
6/23/24,17:58:18,6420,6/23/2024 17:58:18,6/23/2024 13:58:18,7.670701591,,,,
6/23/24,17:58:19,6345,6/23/2024 17:58:19,6/23/2024 13:58:19,7.224711674,,,,
6/23/24,17:58:20,6397,6/23/2024 17:58:20,6/23/2024 13:58:20,7.531080452,,,,
6/23/24,17:58:21,6336,6/23/2024 17:58:21,6/23/2024 13:58:21,7.172965989,,,,
6/23/24,17:58:22,6374,6/23/2024 17:58:22,6/23/2024 13:58:22,7.39400068,,,,
6/23/24,17:58:23,6363,6/23/2024 17:58:23,6/23/2024 13:58:23,7.329325614,,,,
6/23/24,17:58:24,6363,6/23/2024 17:58:24,6/23/2024 13:58:24,7.329325614,,,,
6/23/24,17:58:25,6355,6/23/2024 17:58:25,6/23/2024 13:58:25,7.282644808,,,,
6/23/24,17:58:27,6338,6/23/2024 17:58:27,6/23/2024 13:58:27,7.184432908,7.331510749,,,
6/23/24,18:13:18,6618,6/23/2024 18:13:18,6/23/2024 14:13:18,8.984906207,,,,
6/23/24,18:13:19,6674,6/23/2024 18:13:19,6/23/2024 14:13:19,9.395886431,,,,
6/23/24,18:13:20,6714,6/23/2024 18:13:20,6/23/2024 14:13:20,9.700903739,,,,
6/23/24,18:13:21,6868,6/23/2024 18:13:21,6/23/2024 14:13:21,10.97055945,,,,
6/23/24,18:13:22,6788,6/23/2024 18:13:22,6/23/2024 14:13:22,10.29152901,,,,
6/23/24,18:13:23,6801,6/23/2024 18:13:23,6/23/2024 14:13:23,10.39894052,,,,
6/23/24,18:13:24,6837,6/23/2024 18:13:24,6/23/2024 14:13:24,10.70227453,,,,
6/23/24,18:13:25,6721,6/23/2024 18:13:25,6/23/2024 14:13:25,9.755290833,,,,
6/23/24,18:13:26,6712,6/23/2024 18:13:26,6/23/2024 14:13:26,9.685420336,,,,
6/23/24,18:13:28,6945,6/23/2024 18:13:28,6/23/2024 14:13:28,11.66640543,10.15521165,,,
6/23/24,18:28:19,10859,6/23/2024 18:28:19,6/23/2024 14:28:19,265.7973594,,,,
6/23/24,18:28:20,10899,6/23/2024 18:28:20,6/23/2024 14:28:20,274.4259007,,,,
