Date,Time,DateTime (UTC),DateTime (AST),Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s),Temperature (C)
6/23/24,00:00.0,2024-06-23 18:00:00,6/23/2024 14:00:00,7.69,209.72,-6.68,-3.81,28.8234
6/23/24,15:00.0,2024-06-23 18:15:00,6/23/2024 14:15:00,8.84,221.85,-6.59,-5.9,28.8177
6/23/24,30:00.0,2024-06-23 18:30:00,6/23/2024 14:30:00,5.33,240.08,-2.66,-4.62,28.7805
6/23/24,45:00.0,2024-06-23 18:45:00,6/23/2024 14:45:00,4.64,235.75,-2.61,-3.84,28.769
6/23/24,00:00.0,2024-06-23 19:00:00,6/23/2024 15:00:00,5.28,245.46,-2.19,-4.8,28.7676
6/23/24,15:00.0,2024-06-23 19:15:00,6/23/2024 15:15:00,5.5,232.96,-3.31,-4.39,28.7361
6/23/24,30:00.0,2024-06-23 19:30:00,6/23/2024 15:30:00,4.32,234.41,-2.51,-3.51,28.7447
6/23/24,45:00.0,2024-06-23 19:45:00,6/23/2024 15:45:00,3.72,235.54,-2.1,-3.06,28.739
6/23/24,00:00.0,2024-06-23 20:00:00,6/23/2024 16:00:00,3.22,237.92,-1.71,-2.73,28.749
6/23/24,15:00.0,2024-06-23 20:15:00,6/23/2024 16:15:00,2.53,237.17,-1.37,-2.13,28.7633
6/23/24,30:00.0,2024-06-23 20:30:00,6/23/2024 16:30:00,3.7,230.8,-2.34,-2.86,28.7647
6/23/24,45:00.0,2024-06-23 20:45:00,6/23/2024 16:45:00,3.02,210.88,-2.6,-1.55,28.759
6/23/24,00:00.0,2024-06-23 21:00:00,6/23/2024 17:00:00,1.64,235.83,-0.92,-1.36,28.7704
6/23/24,15:00.0,2024-06-23 21:15:00,6/23/2024 17:15:00,1.49,234.77,-0.86,-1.22,28.7619
6/23/24,30:00.0,2024-06-23 21:30:00,6/23/2024 17:30:00,0.53,58.03,0.28,0.45,28.7647
6/23/24,45:00.0,2024-06-23 21:45:00,6/23/2024 17:45:00,1.69,9.61,1.66,0.28,28.7619
6/23/24,00:00.0,2024-06-23 22:00:00,6/23/2024 18:00:00,3.89,74.17,1.06,3.74,28.769
6/23/24,15:00.0,2024-06-23 22:15:00,6/23/2024 18:15:00,7.19,74.32,1.94,6.92,28.7762
